LineId,Time,Content,EventId,EventTemplate,ParameterList
1,1665070755,mosquitto version 1.6.12 starting,601f8224,mosquitto version 1.6.12 <*>,['starting']
2,1665070755,Config loaded from /mosquitto/mosquitto.conf.,ed44beee,Config loaded from /mosquitto/mosquitto.conf.,[]
3,1665070755,Warning: ACL pattern 'event/encryption_key/model' does not contain '%c' or '%u'.,f7c14a2e,Warning ACL pattern <*> does not contain '%c' or '%u'.,"[""'event/encryption_key/model'""]"
4,1665070755,Warning: ACL pattern 'modules/local/#' does not contain '%c' or '%u'.,f7c14a2e,Warning ACL pattern <*> does not contain '%c' or '%u'.,"[""'modules/local/#'""]"
5,1665070755,Warning: ACL pattern 'cold/#' does not contain '%c' or '%u'.,f7c14a2e,Warning ACL pattern <*> does not contain '%c' or '%u'.,"[""'cold/#'""]"
6,1665070755,Warning: ACL pattern 'warm/#' does not contain '%c' or '%u'.,f7c14a2e,Warning ACL pattern <*> does not contain '%c' or '%u'.,"[""'warm/#'""]"
7,1665070755,Warning: ACL pattern 'hot/#' does not contain '%c' or '%u'.,f7c14a2e,Warning ACL pattern <*> does not contain '%c' or '%u'.,"[""'hot/#'""]"
8,1665070755,Warning: ACL pattern 'modules/+/status' does not contain '%c' or '%u'.,f7c14a2e,Warning ACL pattern <*> does not contain '%c' or '%u'.,"[""'modules/+/status'""]"
9,1665070755,Warning: ACL pattern 'system/#' does not contain '%c' or '%u'.,f7c14a2e,Warning ACL pattern <*> does not contain '%c' or '%u'.,"[""'system/#'""]"
10,1665070755,Warning: ACL pattern '$SYS/#' does not contain '%c' or '%u'.,f7c14a2e,Warning ACL pattern <*> does not contain '%c' or '%u'.,"[""'$SYS/#'""]"
11,1665070755,Opening ipv4 listen socket on port 1883.,afc0e2cb,Opening <*> listen socket on port 1883.,['ipv4']
12,1665070755,Opening ipv6 listen socket on port 1883.,afc0e2cb,Opening <*> listen socket on port 1883.,['ipv6']
13,1665070755,mosquitto version 1.6.12 running,601f8224,mosquitto version 1.6.12 <*>,['running']
14,1665070755,New connection from 10.0.1.4 on port 1883.,a32dc633,New connection from 10.0.1.4 on port 1883.,[]
