EventId,EventTemplate,Occurrences
3af362d3,Application started. Press Ctrl+C to shut down. [Microsoft.Hosting.Lifetime],1
bd70682d,Disconnected clientWasConnected False reason UnspecifiedError reasonString null connectResult null [ABB.IA.CSConnect.Service.DCSMessageQueue],1
1aeeb929,Connected <*> connectResult MqttClientConnectResult {ResultCode Success IsSessionPresent True WildcardSubscriptionAvailable True RetainAvailable True AssignedClientIdentifier null AuthenticationMethod null AuthenticationData null MaximumPacketSize null ReasonString null ReceiveMaximum null MaximumQoS AtMostOnce ResponseInformation null TopicAliasMaximum 0 ServerReference null ServerKeepAlive 0 SessionExpiryInterval null SubscriptionIdentifiersAvailable False SharedSubscriptionAvailable False UserProperties null} [ABB.IA.Edge.Ability.Module.EdgeMessageQueue],4
8280ce20,"System model received systemId 9175363c-c843-428a-bfcf-7a384dc1564a systemName ""sealjav-18"" payload {""model"" ""abb.controlSystem.system"" ""type"" ""abb.controlSystem.system@1"" ""name"" ""sealjav-18"" ""description"" """" ""ownerId"" ""9c834b1b-37d5-4501-ac3a-0a7aeb634a51"" ""path"" ""controlsystemconnect"" ""version"" 3 ""lastModified"" ""2022-10-08T05 50 30.417Z"" ""properties"" {""modelMapping"" {""xastructurecontrol"" {""fromModel"" {""value"" ""abb.controlSystem.800xA.structure.control""} ""fromType"" {""value"" ""abb.controlSystem.800xA.structure.control@1""} ""toModel"" {""value"" ""abb.controlSystem.structure.control""} ""toType"" {""value"" ""abb.controlSystem.structure.control@1""}} ""xastructurefunctional"" {""fromModel"" {""value"" ""abb.controlSystem.800xA.structure.functional""} ""fromType"" {""value"" ""abb.controlSystem.800xA.structure.functional@1""} ""toModel"" {""value"" ""abb.controlSystem.structure.functional""} ""toType"" {""value"" ""abb.controlSystem.structure.functional@1""}} ""xastructurelocation"" {""fromModel"" {""value"" ""abb.controlSystem.800xA.structure.location""} ""fromType"" {""value"" ""abb.controlSystem.800xA.structure.location@1""} ""toModel"" {""value"" ""abb.controlSystem.structure.location""} ""toType"" {""value"" ""abb.controlSystem.structure.location@1""}} ""xastructureasset"" {""fromModel"" {""value"" ""abb.controlSystem.800xA.structure.asset""} ""fromType"" {""value"" ""abb.controlSystem.800xA.structure.asset@1""} ""toModel"" {""value"" ""abb.controlSystem.structure.asset""} ""toType"" {""value"" ""abb.controlSystem.structure.asset@1""}}}} ""objectId"" ""9175363c-c843-428a-bfcf-7a384dc1564a"" ""tenantId"" ""4d1190c6-a2e6-4de7-95af-1029ca987984""} [ABB.IA.CSConnect.Service.EdgeService]",1
31077c72,"Module configuration changed payload {""model"" ""abb.ability.configuration"" ""type"" ""abb.ia.edge.modules.controlsystemconnect.configuration@1"" ""version"" 1 ""lastModified"" ""2022-10-21T13 23 18.179Z"" ""properties"" {""name"" {""value"" ""d8d7a22a-14fe-4973-83d0-428359601d83/controlsystemconnect""} ""docker"" {""env"" {""dcsBrokerConfiguration__clientOptions__clientTcpOptions__server"" {""value"" ""csconnectbroker""} ""dcsBrokerConfiguration__clientOptions__clientTcpOptions__port"" {""value"" ""1883""} ""dcsConfiguration__deployTimeout"" {""value"" ""00 05 00""} ""dcsConfiguration__storagePath"" {""value"" ""/files""} ""dcsConfiguration__synchronizationWaitTime"" {""value"" ""00 00 30""} ""dcsConfiguration__removeModelsFromBroker"" {""value"" ""true""} ""dcsConfiguration__forceDeploy"" {""value"" ""false""} ""dcsConfiguration__maxInflightDeviceMessages"" {""value"" ""20""} ""dcsConfiguration__createDeployPackage"" {""value"" ""true""} ""dcsConfiguration__addTenantIdTag"" {""value"" ""true""} ""typeStorageConfiguration__storagePath"" {""value"" ""/files""} ""referenceStorageConfiguration__storagePath"" {""value"" ""/files""} ""edgeModuleConfiguration__clientOptions__communicationTimeout"" {""value"" ""00 01 00""} ""edgeModuleConfiguration__clientOptions__keepAlivePeriod"" {""value"" ""00 01 30""} ""diagnosticsConfiguration__publishInterval"" {""value"" ""00 01 00""} ""diagnosticsConfiguration__movingAverageTime"" {""value"" ""00 05 00""} ""log_level"" {""value"" ""Information""}} ""image"" {""value"" ""abbiapcpdev.azurecr.io/control-system-connect 1.25.7.1084@sha256 761be171540042e93f1c523edd1a5ad5162e97102cc526b0aebdba037942aeb5""}}} ""objectId"" ""d281e0f7-56d5-45a3-8a59-6b7496bf3580"" ""tenantId"" ""4d1190c6-a2e6-4de7-95af-1029ca987984""} [ABB.IA.CSConnect.Service.EdgeService]",3
80b48a82,"EdgeMessage not handled topic ""modules/controlsystemconnect/model/desired/abb.ability.configuration/a0c7d66d-56ac-4c9c-8c42-17f2c40cd2a4"" payload {""model"" ""abb.ability.configuration"" ""type"" ""abb.ia.edge.modules.controlsystemconnect.configuration@1"" ""ownerId"" ""9c834b1b-37d5-4501-ac3a-0a7aeb634a51"" ""path"" ""controlsystemconnect"" ""version"" 3 ""lastModified"" ""2022-10-21T13 02 58.499Z"" ""properties"" {""name"" {""value"" ""d8d7a22a-14fe-4973-83d0-428359601d83/controlsystemconnect""} ""docker"" {""env"" {""dcsBrokerConfiguration__clientOptions__clientTcpOptions__server"" {""value"" ""csconnectbroker""} ""dcsBrokerConfiguration__clientOptions__clientTcpOptions__port"" {""value"" ""1883""} ""dcsConfiguration__deployTimeout"" {""value"" ""00 05 00""} ""dcsConfiguration__storagePath"" {""value"" ""/files""} ""dcsConfiguration__synchronizationWaitTime"" {""value"" ""00 00 30""} ""dcsConfiguration__removeModelsFromBroker"" {""value"" ""true""} ""dcsConfiguration__forceDeploy"" {""value"" ""false""} ""dcsConfiguration__maxInflightDeviceMessages"" {""value"" ""20""} ""dcsConfiguration__createDeployPackage"" {""value"" ""true""} ""dcsConfiguration__addTenantIdTag"" {""value"" ""true""} ""typeStorageConfiguration__storagePath"" {""value"" ""/files""} ""referenceStorageConfiguration__storagePath"" {""value"" ""/files""} ""edgeModuleConfiguration__clientOptions__communicationTimeout"" {""value"" ""00 01 00""} ""edgeModuleConfiguration__clientOptions__keepAlivePeriod"" {""value"" ""00 01 30""} ""diagnosticsConfiguration__publishInterval"" {""value"" ""00 01 00""} ""diagnosticsConfiguration__movingAverageTime"" {""value"" ""00 05 00""} ""log_level"" {""value"" ""Information""}} ""image"" {""value"" ""abbiapcpdev.azurecr.io/control-system-connect 1.24.17.35779@sha256 0b2ccb1294a01eb2caef50d1c794acce17a36de48a3a2ba3e6e222aef0657a2c""}} ""associatedSystems"" {""9175363c-c843-428a-bfcf-7a384dc1564a"" {""value"" ""sealjav-18""}}} ""objectId"" ""a0c7d66d-56ac-4c9c-8c42-17f2c40cd2a4"" ""tenantId"" ""4d1190c6-a2e6-4de7-95af-1029ca987984""} [ABB.IA.CSConnect.Service.EdgeService]",1
28fbf472,"Starting connecting to ""csconnectbroker 1883"" clientOptions ManagedMqttClientOptions {ClientOptions MqttClientOptions {AuthenticationData null AuthenticationMethod null ChannelOptions MqttClientTcpOptions {AddressFamily Unspecified LocalEndpoint null BufferSize 8192 DualMode null LingerState LingerOption {Enabled True LingerTime 0} NoDelay True Port 1883 Server ""csconnectbroker"" TlsOptions MqttClientTlsOptions {CertificateValidationHandler null UseTls False IgnoreCertificateRevocationErrors False IgnoreCertificateChainErrors False AllowUntrustedCertificates False RevocationMode Online Certificates null ApplicationProtocols null CipherSuitesPolicy null SslProtocol Tls12 Tls13}} CleanSession False ClientId ""d281e0f756d545a38a596b7496bf3580"" Credentials null ExtendedAuthenticationExchangeHandler null KeepAlivePeriod 00 01 30 MaximumPacketSize 0 ProtocolVersion V311 ReceiveMaximum 0 RequestProblemInformation True RequestResponseInformation False SessionExpiryInterval 0 Timeout 00 01 00 TopicAliasMaximum 0 TryPrivate True UserProperties null WillContentType null WillCorrelationData null WillDelayInterval 0 WillMessageExpiryInterval 0 WillPayload null WillPayloadFormatIndicator Unspecified WillQualityOfServiceLevel AtMostOnce WillResponseTopic null WillRetain False WillTopic null WillUserProperties null WriterBufferSize 4096 WriterBufferSizeMax 65535} AutoReconnectDelay 00 00 05 ConnectionCheckInterval 00 00 01 Storage null MaxPendingMessages 1000 PendingMessagesOverflowStrategy DropOldestQueuedMessage MaxTopicFiltersInSubscribeUnsubscribePackets 2147483647} [ABB.IA.CSConnect.Service.DCSMessageQueue]",1
4a2d4bd3,"Hosting environment ""Production"" [Microsoft.Hosting.Lifetime]",1
8dc0fa13,<*> system synchronization timer [ABB.IA.CSConnect.Service.EdgeService],3
e5ea32fc,-------- 0 models -------- [ABB.IA.CSConnect.Service.ModelInventory],1
