EventId,EventTemplate,Occurrences
9ac6e3bf,"Provider status providerId ""9a8d4aff-ef12-43a7-b966-4a6c9bd60bcd"" name ""Simulator"" online <*>",9
b12062d4,"UpdateInventory sourceId <*> systemId 2b2fe970-2d6c-40a5-87ac-10d858ba41e4 model <*> objectId <*> type <*> version 1 hash ""1""",50
5a75ee0e,Update model name <*> type <*> sourceId <*> systemId 2b2fe970-2d6c-40a5-87ac-10d858ba41e4 objectId <*> model <*> correlationId <*>,50
b291e1f2,"Model NOT in Inventory <*> <*> name <*> sourceId <*> systemId 2b2fe970-2d6c-40a5-87ac-10d858ba41e4 objectId <*> model ""abb.controlSystem.device"" type <*> storedType null",31
a1ebe117,"Update reference targetSourceId <*> targetSystemId 2b2fe970-2d6c-40a5-87ac-10d858ba41e4 targetModel ""abb.controlSystem.structure.functional"" sourceSourceId <*> sourceSystemId 2b2fe970-2d6c-40a5-87ac-10d858ba41e4 sourceModel ""abb.controlSystem.structure.functional"" reference ""children"" targetObjectId <*> sourceObjectId <*> correlationId <*>",24
d13c71bb,"Deploy finished providerId ""9a8d4aff-ef12-43a7-b966-4a6c9bd60bcd"" deployId <*> status <*> receivedModels 50 receivedReferences <*> receivedTypes 6 publishedTypes 6 skippedTypes 0 publishedModels <*> skippedModels 0 publishedReferences <*> skippedReferences 0 deletedModels 0 failedTypes 0 failedModels <*> failedDeletedModels 0 failedReferences 0",2
e66d2144,"ValidateModels ""Required origin data not included"" errorCode InvalidModelPayload model {""model"" ""abb.controlSystem.device"" ""type"" <*> ""name"" <*> ""description"" <*> <*> ""properties"" {""origin"" {""sourceId"" {""value"" <*> ""systemId"" {""value"" ""00000000-0000-0000-0000-000000000000""}} ""hash"" {""value"" ""1""}} ""variables"" {""aspects"" {""functionblock"" {""out"" {""min"" <*> ""max"" <*>",9
c3debb48,"ValidateModels ""Required origin data not included"" errorCode InvalidModelPayload model {""model"" ""abb.controlSystem.device"" ""type"" ""abb.controlSystem.simulator.transmitter.00000000000000000000000000000000@1"" ""name"" <*> ""description"" <*> transmitter"" ""properties"" {""origin"" {""sourceId"" {""value"" <*> ""systemId"" {""value"" ""00000000-0000-0000-0000-000000000000""}} ""hash"" {""value"" ""1""}} ""variables"" {""aspects"" {""functionblock"" {""out"" {""min"" <*> ""max"" <*> ""unit"" <*>",9
c5cde78d,Connected connectResult MqttClientConnectResult {ResultCode Success IsSessionPresent False WildcardSubscriptionAvailable True RetainAvailable True AssignedClientIdentifier null AuthenticationMethod null AuthenticationData null MaximumPacketSize null ReasonString null ReceiveMaximum null MaximumQoS AtMostOnce ResponseInformation null TopicAliasMaximum 0 ServerReference null ServerKeepAlive 0 SessionExpiryInterval null SubscriptionIdentifiersAvailable False SharedSubscriptionAvailable False UserProperties null},1
62fd81cc,Connected <*> connectResult MqttClientConnectResult {ResultCode Success IsSessionPresent False WildcardSubscriptionAvailable True RetainAvailable True AssignedClientIdentifier null AuthenticationMethod null AuthenticationData null MaximumPacketSize null ReasonString null ReceiveMaximum null MaximumQoS AtMostOnce ResponseInformation null TopicAliasMaximum 0 ServerReference null ServerKeepAlive 0 SessionExpiryInterval null SubscriptionIdentifiersAvailable False SharedSubscriptionAvailable False UserProperties null},2
75665be1,"Connected providerId ""9a8d4aff-ef12-43a7-b966-4a6c9bd60bcd"" connectResult MqttClientConnectResult {ResultCode Success IsSessionPresent False WildcardSubscriptionAvailable True RetainAvailable True AssignedClientIdentifier null AuthenticationMethod null AuthenticationData null MaximumPacketSize null ReasonString null ReceiveMaximum null MaximumQoS AtMostOnce ResponseInformation null TopicAliasMaximum 0 ServerReference null ServerKeepAlive 0 SessionExpiryInterval null SubscriptionIdentifiersAvailable False SharedSubscriptionAvailable False UserProperties null}",1
a1cef980,"ACK received type ""type.create"" payload {""success"" false ""code"" ""http_response_error"" ""details"" ""\""Type Definition post endpoint operation unsuccessful. StatusCode 409 (Conflict). Response '{\""errors\"" [{\""code\"" \""409\"" \""title\"" \""Conflict\"" \""detail\"" \""Conflict! Type definition <*> with version '1.0.0' already exists among stored in DB '1.0.0'\"" \""id\"" <*> <*> \""status\"" \""Conflict\""}]}'\""""}",6
887350f8,"Type Create ACK isSuccess True typeId <*> version ""1.0.0"" model ""abb.controlSystem.device"" errorCode ""http_response_error"" errorMessage ""\""Type Definition post endpoint operation unsuccessful. StatusCode 409 (Conflict). Response '{\""errors\"" [{\""code\"" \""409\"" \""title\"" \""Conflict\"" \""detail\"" \""Conflict! Type definition <*> with version '1.0.0' already exists among stored in DB '1.0.0'\"" \""id\"" <*> <*> \""status\"" \""Conflict\""}]}'\"""" correlationId <*>",6
