EventId,EventTemplate,Occurrences
c75bff06,Configuration database revision set to 1 [ABB.IA.Edge.Router.Service.Services.ConfigurationStorage],1
3af362d3,Application started. Press Ctrl+C to shut down. [Microsoft.Hosting.Lifetime],1
712a6b09,An error occurred when attempting to fetch configuration from db [ABB.IA.Edge.Router.Service.Services.ConfigurationStorage],1
634b0305,"Router Routing configuration changed ""Routing configuration \n-----------------------------------------\nDefaultRoute 'Hot'\nIsDefaultRouteAllowed 'True'\nRoute 1 Type TimeSeries TargetTopic Cloud Model abb.ability.device NameFilter * IsAllowed True\nRoute 2 Type TimeSeries TargetTopic Hot Model abb.ability.device NameFilter * IsAllowed True\n"" [ABB.IA.Edge.Router.Service.RouterService]",1
2e963418,"Starting ""EdgeBrokerMessageQueue"" with the following configuration ""{\""BrokerUrl\"" \""mqtt //edge-broker 1883\"" \""ModuleId\"" \""edgerouter\"" \""PasswordFilePath\"" \""/run/secrets/edgerouter\"" \""ClientId\"" \""edgerouter\"" \""CommunicationTimeout\"" \""00 02 00\"" \""NumberOfWorkers\"" 4 \""StoragePath\"" \""/files\"" \""KeepAliveInSeconds\"" 20 \""MaxMessageSize\"" 268435456 \""ModuleObjectId\"" \""6aa56f04-cbf8-450b-908e-f717d8f48e6b\"" \""BatchMessageSizeThreshold\"" 131072 \""ConnectivityMode\"" 1 \""ForceShutdownTimeout\"" \""00 00 10\""}"" [ABB.IA.Edge.Router.Service.EdgeBrokerMessageQueue]",1
3c1b9c2d,Statistics publish <*> messages <*> messageRate <*> msg/s messagesBytes <*> messagesBytesRate <*> KB/s variables <*> variableRate <*> variables/s variableBytes <*> variableBytesRate <*> KB/s alarms <*> alarmRate <*> alarms/s alarmBytes <*> alarmBytesRate <*> KB/s events <*> eventRate <*> events/s eventBytes <*> eventBytesRate <*> KB/s averageAckTime <*> ms/msg minAckTime <*> ms maxAckTime <*> ms duration 15 s [ABB.IA.Edge.Router.Service.EdgeBrokerMessageQueue],2791
686cf8f8,Statistics subscribe messages <*> messageRate <*> msg/s messagesBytes <*> messagesBytesRate <*> KB/s variables <*> variableRate <*> variables/s variableBytes <*> variableBytesRate <*> KB/s alarms <*> alarmRate <*> alarms/s alarmBytes <*> alarmBytesRate <*> KB/s events <*> eventRate <*> events/s eventBytes <*> eventBytesRate <*> KB/s averageProcessTime <*> ms/msg minProcessTime <*> ms maxProcessTime <*> ms averageRoutingTime <*> ms/msg minRoutingTime <*> ms maxRoutingTime <*> ms duration 15 s [ABB.IA.Edge.Router.Service.EdgeBrokerMessageQueue],1723
774e3a7f,Waiting for configuration... [ABB.IA.Edge.Router.Service.EdgeBrokerMessageQueue],1
4a2d4bd3,"Hosting environment ""Production"" [Microsoft.Hosting.Lifetime]",1
db74a669,"Framework Description "".NET 6.0.5"" []",1
daada832,Connected to mqtt server. [ABB.IA.Edge.Router.Mqtt.MqttClient],2
6c43f7d5,<*> MQTT client connected. [ABB.IA.Edge.Router.Service.EdgeBrokerMessageQueue],2
e7595dc2,"Content root path ""/app"" [Microsoft.Hosting.Lifetime]",1
40cf4848,Broker endpoint mqtt //edge-broker 1883/ [],1
3610da4c,"Connected to tcp //""edge-broker"" 1883 [ABB.IA.Edge.Router.Mqtt.MqttClient]",2
027f7ab6,Updating diagnostics properties propertyCount 4 [ABB.IA.Edge.Router.Service.EdgeBrokerMessageQueue],1593
4915cb6c,<*> started. <*>,2
8c7a5c06,"Starting Router ""1.21.67+d06c0bb12e"" []",1
308e554b,Starting hosted service. [ABB.IA.Edge.Router.Service.RouterService],1
4ef3be09,Starting 4 workers. [ABB.IA.Edge.Router.Service.EdgeBrokerMessageQueue],1
b9b6d87c,"Configuration file not found ""/files/configuration.json"" [ABB.IA.Edge.Router.Service.EdgeBrokerMessageQueue]",1
979ad8ea,"Configuration saved to database ""/files/configuration.db"" [ABB.IA.Edge.Router.Service.Services.ConfigurationStorage]",1
