EventId,EventTemplate,Occurrences
aee38f61,Hosting <*> [Microsoft.Extensions.Hosting.Internal.Host],2
530d83a6,"Starting <*> connecting to ""edge-broker 1883"" clientId <*> userName ""controlsystemconnectsimulator"" [ABB.IA.Edge.Ability.Module.EdgeMessageQueue]",2
4ca8a759,"ApplicationMessageReceived messageType ModelUpdates topic <*> qos AtLeastOnce retain <*> clientId ""subscriber_controlsystemconnectsimulator"" payload {",3
8ea30ed0,DeployProgress deployId <*> deployStatus <*> errorMessage null typeCount <*> modelCount <*> deletedCount null failedTypeCount null failedModelCount <*> failedDeletedModelCount null failedReferenceCount null [ABB.IA.CSConnect.Simulator.DCSService],11
b06c3373,"Deploy model failed ""Required origin data not included"" {""model"" <*> ""type"" <*> ""name"" <*> ""properties"" {""origin"" {""sourceId"" {""value"" <*> ""systemId"" {""value"" ""00000000-0000-0000-0000-000000000000""}} ""hash"" {""value"" ""1""}}} [ABB.IA.CSConnect.Simulator.DCSService]",29
ca9fccfb,"Deploy model failed ""Required origin data not included"" {""model"" ""abb.controlSystem.device"" ""type"" ""abb.controlSystem.simulator.motor.00000000000000000000000000000000@1"" ""name"" <*> ""description"" ""Compressor motor"" ""properties"" {""origin"" {""sourceId"" {""value"" <*> ""systemId"" {""value"" ""00000000-0000-0000-0000-000000000000""}} ""hash"" {""value"" ""1""}}} [ABB.IA.CSConnect.Simulator.DCSService]",3
b6b6358b,"Deploy model failed ""Required origin data not included"" {""model"" ""abb.controlSystem.device"" ""type"" <*> ""name"" <*> ""description"" <*> <*> ""properties"" {""origin"" {""sourceId"" {""value"" <*> ""systemId"" {""value"" ""00000000-0000-0000-0000-000000000000""}} ""hash"" {""value"" ""1""}} ""variables"" {""aspects"" {""functionblock"" {""out"" {""min"" <*> ""max"" <*> [ABB.IA.CSConnect.Simulator.DCSService]",9
fa58c10a,"Deploy model failed ""Required origin data not included"" {""model"" ""abb.controlSystem.device"" ""type"" ""abb.controlSystem.simulator.transmitter.00000000000000000000000000000000@1"" ""name"" <*> ""description"" <*> transmitter"" ""properties"" {""origin"" {""sourceId"" {""value"" <*> ""systemId"" {""value"" ""00000000-0000-0000-0000-000000000000""}} ""hash"" {""value"" ""1""}} ""variables"" {""aspects"" {""functionblock"" {""out"" {""min"" <*> ""max"" <*> ""unit"" <*> [ABB.IA.CSConnect.Simulator.DCSService]",9
25937593,Connected connectResult MqttClientConnectResult {ResultCode Success IsSessionPresent True WildcardSubscriptionAvailable True RetainAvailable True AssignedClientIdentifier null AuthenticationMethod null AuthenticationData null MaximumPacketSize null ReasonString null ReceiveMaximum null MaximumQoS AtMostOnce ResponseInformation null TopicAliasMaximum 0 ServerReference null ServerKeepAlive null SessionExpiryInterval null SubscriptionIdentifiersAvailable False SharedSubscriptionAvailable False UserProperties null} [ABB.IA.CSConnect.Simulator.DCSService],1
116f3489,Connected <*> connectResult MqttClientConnectResult {ResultCode Success IsSessionPresent True WildcardSubscriptionAvailable True RetainAvailable True AssignedClientIdentifier null AuthenticationMethod null AuthenticationData null MaximumPacketSize null ReasonString null ReceiveMaximum null MaximumQoS AtMostOnce ResponseInformation null TopicAliasMaximum 0 ServerReference null ServerKeepAlive null SessionExpiryInterval null SubscriptionIdentifiersAvailable False SharedSubscriptionAvailable False UserProperties null} [ABB.IA.Edge.Ability.Module.EdgeMessageQueue],2
